Month,Category,Product,Sales,Profit,CustomerSegment
Jan,Electronics,Smartphone A,1200,300,Consumer
Jan,Electronics,Laptop B,1800,450,Business
Jan,Furniture,Office Chair,350,90,Consumer
Jan,Furniture,Desk Pro,700,150,Business
Jan,Clothing,T-Shirt Classic,150,40,Consumer
Jan,Clothing,Winter Jacket,400,120,Consumer

Feb,Electronics,Smartphone A,1300,320,Consumer
Feb,Electronics,Laptop B,1750,430,Business
Feb,Furniture,Office Chair,380,100,Consumer
Feb,Furniture,Desk Pro,720,160,Business
Feb,Clothing,T-Shirt Classic,160,45,Consumer
Feb,Clothing,Winter Jacket,380,110,Consumer

Mar,Electronics,Smartphone A,1400,350,Consumer
Mar,Electronics,Laptop B,1900,480,Business
Mar,Furniture,Office Chair,360,95,Consumer
Mar,Furniture,Desk Pro,750,170,Business
Mar,Clothing,T-Shirt Classic,170,50,Consumer
Mar,Clothing,Winter Jacket,420,130,Consumer

Apr,Electronics,Smartphone A,1500,370,Consumer
Apr,Electronics,Laptop B,2000,500,Business
Apr,Furniture,Office Chair,390,110,Consumer
Apr,Furniture,Desk Pro,780,180,Business
Apr,Clothing,T-Shirt Classic,180,55,Consumer
Apr,Clothing,Winter Jacket,300,90,Consumer

May,Electronics,Smartphone A,1600,400,Consumer
May,Electronics,Laptop B,2100,520,Business
May,Furniture,Office Chair,420,120,Consumer
May,Furniture,Desk Pro,800,190,Business
May,Clothing,T-Shirt Classic,200,60,Consumer
May,Clothing,Winter Jacket,250,70,Consumer

Jun,Electronics,Smartphone A,1550,380,Consumer
Jun,Electronics,Laptop B,2050,510,Business
Jun,Furniture,Office Chair,410,115,Consumer
Jun,Furniture,Desk Pro,820,200,Business
Jun,Clothing,T-Shirt Classic,210,65,Consumer
Jun,Clothing,Winter Jacket,200,60,Consumer

Jul,Electronics,Smartphone A,1650,420,Consumer
Jul,Electronics,Laptop B,2150,540,Business
Jul,Furniture,Office Chair,430,125,Consumer
Jul,Furniture,Desk Pro,850,210,Business
Jul,Clothing,T-Shirt Classic,220,70,Consumer
Jul,Clothing,Winter Jacket,180,55,Consumer

Aug,Electronics,Smartphone A,1700,430,Consumer
Aug,Electronics,Laptop B,2200,560,Business
Aug,Furniture,Office Chair,440,130,Consumer
Aug,Furniture,Desk Pro,870,220,Business
Aug,Clothing,T-Shirt Classic,230,75,Consumer
Aug,Clothing,Winter Jacket,160,50,Consumer

Sep,Electronics,Smartphone A,1750,450,Consumer
Sep,Electronics,Laptop B,2250,580,Business
Sep,Furniture,Office Chair,450,135,Consumer
Sep,Furniture,Desk Pro,900,230,Business
Sep,Clothing,T-Shirt Classic,240,80,Consumer
Sep,Clothing,Winter Jacket,150,45,Consumer

Oct,Electronics,Smartphone A,1800,470,Consumer
Oct,Electronics,Laptop B,2300,600,Business
Oct,Furniture,Office Chair,460,140,Consumer
Oct,Furniture,Desk Pro,920,240,Business
Oct,Clothing,T-Shirt Classic,250,85,Consumer
Oct,Clothing,Winter Jacket,140,40,Consumer

Nov,Electronics,Smartphone A,1900,500,Consumer
Nov,Electronics,Laptop B,2400,630,Business
Nov,Furniture,Office Chair,480,150,Consumer
Nov,Furniture,Desk Pro,950,260,Business
Nov,Clothing,T-Shirt Classic,260,90,Consumer
Nov,Clothing,Winter Jacket,300,100,Consumer

Dec,Electronics,Smartphone A,2200,600,Consumer
Dec,Electronics,Laptop B,2600,700,Business
Dec,Furniture,Office Chair,500,160,Consumer
Dec,Furniture,Desk Pro,1000,280,Business
Dec,Clothing,T-Shirt Classic,300,100,Consumer
Dec,Clothing,Winter Jacket,600,200,Consumer
